Id;IdPlayer;IdTeam;ShirtNumber;Position;Captain;Short Free Kick;Long Free Kick;Right Corner;Left Corner;Penalty;Value1
1;142061;126;1;0;False;False;False;False;False;False;0
2;36769;126;15;1;True;False;False;False;False;False;0
3;142237;126;4;2;False;False;False;False;False;False;0
4;116136;126;25;3;False;False;False;False;False;False;0
5;59835;126;13;4;False;False;True;False;False;False;0
6;142226;126;6;5;False;False;False;False;False;False;0
7;132933;126;22;6;False;False;False;False;False;True;0
8;60928;126;19;7;False;True;False;True;True;False;0
9;144438;126;27;8;False;False;False;False;False;False;0
10;117932;126;21;9;False;False;False;False;False;False;0
11;142198;126;18;10;False;False;False;False;False;False;0
12;53917;126;33;11;False;False;False;False;False;False;0
13;46647;126;24;12;False;False;False;False;False;False;0
14;113295;126;30;13;False;False;False;False;False;False;0
15;54835;126;36;14;False;False;False;False;False;False;0
16;46825;126;23;15;False;False;False;False;False;False;0
17;106800;126;8;16;False;False;False;False;False;False;0
18;142229;126;17;17;False;False;False;False;False;False;0
19;45944;126;11;18;False;False;False;False;False;False;0
20;142196;126;7;19;False;False;False;False;False;False;0
21;54841;126;43;20;False;False;False;False;False;False;0
22;63916;126;10;21;False;False;False;False;False;False;0
23;37191;126;20;22;False;False;False;False;False;False;0
24;145693;126;35;23;False;False;False;False;False;False;0
25;142192;126;38;24;False;False;False;False;False;False;0
26;54742;126;41;25;False;False;False;False;False;False;0
27;146884;126;44;26;False;False;False;False;False;False;0
28;142193;126;2;27;False;False;False;False;False;False;0
29;54834;126;37;28;False;False;False;False;False;False;0
30;109915;126;14;29;False;False;False;False;False;False;0
31;139796;126;32;30;False;False;False;False;False;False;0
32;54160;126;31;31;False;False;False;False;False;False;0
33;53910;126;46;32;False;False;False;False;False;False;0
34;146888;126;42;33;False;False;False;False;False;False;0
35;143178;126;34;34;False;False;False;False;False;False;0
36;106804;5010;21;0;False;False;False;False;False;False;0
37;116649;5010;4;1;True;False;False;False;False;False;0
38;61142;5010;37;2;False;False;False;False;False;False;0
39;126719;5010;2;3;False;False;False;False;False;False;0
40;146017;5010;22;4;False;False;False;False;True;False;0
41;123265;5010;8;5;False;False;False;False;False;False;0
42;123131;5010;24;6;False;False;False;False;False;False;0
43;101872;5010;10;7;False;False;False;True;False;False;0
44;130319;5010;17;8;False;True;True;False;False;False;0
45;108984;5010;18;9;False;False;False;False;False;True;0
46;116652;5010;11;10;False;False;False;False;False;False;0
47;100133;5010;13;11;False;False;False;False;False;False;0
48;132192;5010;32;12;False;False;False;False;False;False;0
49;116647;5010;16;13;False;False;False;False;False;False;0
50;113281;5010;39;14;False;False;False;False;False;False;0
51;116651;5010;23;15;False;False;False;False;False;False;0
52;54057;5010;25;16;False;False;False;False;False;False;0
53;101386;5010;44;17;False;False;False;False;False;False;0
54;117766;5010;27;18;False;False;False;False;False;False;0
55;110902;5010;7;19;False;False;False;False;False;False;0
56;142217;5010;38;20;False;False;False;False;False;False;0
57;105057;5010;9;21;False;False;False;False;False;False;0
58;109343;5010;19;22;False;False;False;False;False;False;0
59;38784;5010;1;23;False;False;False;False;False;False;0
60;53914;5010;34;24;False;False;False;False;False;False;0
61;109010;226;1;0;False;False;False;False;False;False;0
62;3305;226;20;1;True;False;False;False;False;False;0
63;127493;226;35;2;False;False;False;False;False;False;0
64;114390;226;2;3;False;False;False;False;False;False;0
65;126965;226;15;4;False;True;True;True;True;True;0
66;139727;226;6;5;False;False;False;False;False;False;0
67;130802;226;26;6;False;False;False;False;False;False;0
68;142194;226;36;7;False;False;False;False;False;False;0
69;126905;226;29;8;False;False;False;False;False;False;0
70;43040;226;27;9;False;False;False;False;False;False;0
71;115254;226;9;10;False;False;False;False;False;False;0
72;142060;226;31;11;False;False;False;False;False;False;0
73;104225;226;18;12;False;False;False;False;False;False;0
74;138730;226;5;13;False;False;False;False;False;False;0
75;43613;226;22;14;False;False;False;False;False;False;0
76;114903;226;33;15;False;False;False;False;False;False;0
77;142235;226;25;16;False;False;False;False;False;False;0
78;102780;226;17;17;False;False;False;False;False;False;0
79;110812;226;8;18;False;False;False;False;False;False;0
80;54249;226;28;19;False;False;False;False;False;False;0
81;54345;226;11;20;False;False;False;False;False;False;0
82;60143;226;21;21;False;False;False;False;False;False;0
83;104541;226;19;22;False;False;False;False;False;False;0
84;146773;226;40;23;False;False;False;False;False;False;0
85;54819;226;43;24;False;False;False;False;False;False;0
86;107983;226;4;25;False;False;False;False;False;False;0
87;118060;226;24;26;False;False;False;False;False;False;0
88;116137;4140;1;0;False;False;False;False;False;False;0
89;106796;4140;31;1;False;False;False;False;False;True;0
90;146014;4140;3;2;False;False;False;False;False;False;0
91;126593;4140;4;3;False;False;False;False;False;False;0
92;136775;4140;28;4;True;True;True;True;True;False;0
93;142236;4140;6;5;False;False;False;False;False;False;0
94;116646;4140;8;6;False;False;False;False;False;False;0
95;128479;4140;13;7;False;False;False;False;False;False;0
96;142139;4140;19;8;False;False;False;False;False;False;0
97;107980;4140;45;9;False;False;False;False;False;False;0
98;104808;4140;27;10;False;False;False;False;False;False;0
99;138570;4140;37;11;False;False;False;False;False;False;0
100;132791;4140;25;12;False;False;False;False;False;False;0
101;111265;4140;5;13;False;False;False;False;False;False;0
102;142233;4140;23;14;False;False;False;False;False;False;0
103;103133;4140;2;15;False;False;False;False;False;False;0
104;38956;4140;24;16;False;False;False;False;False;False;0
105;59553;4140;7;17;False;False;False;False;False;False;0
106;106795;4140;14;18;False;False;False;False;False;False;0
107;110524;4140;32;19;False;False;False;False;False;False;0
108;146020;4140;40;20;False;False;False;False;False;False;0
109;147018;4140;17;21;False;False;False;False;False;False;0
110;54107;4140;11;22;False;False;False;False;False;False;0
111;47077;4140;12;23;False;False;False;False;False;False;0
112;143771;4140;26;24;False;False;False;False;False;False;0
113;54105;4140;36;25;False;False;False;False;False;False;0
114;142206;4140;30;26;False;False;False;False;False;False;0
115;54060;4140;35;27;False;False;False;False;False;False;0
116;142187;436;4;17;False;False;False;False;False;False;0
117;54058;4140;21;28;False;False;False;False;False;False;0
118;142161;4124;1;0;False;False;False;False;False;False;0
119;146013;4124;23;1;False;False;False;False;False;False;0
120;44716;4124;6;2;True;False;False;False;False;True;0
121;130234;4124;2;3;False;False;False;False;False;False;0
122;115056;4124;22;4;False;False;False;False;True;False;0
123;48059;4124;8;5;False;False;False;False;False;False;0
124;142227;4124;13;6;False;True;True;True;False;False;0
125;61680;4124;28;7;False;False;False;False;False;False;0
126;120354;4124;9;8;False;False;False;False;False;False;0
127;142171;4124;7;9;False;False;False;False;False;False;0
128;144439;4124;11;10;False;False;False;False;False;False;0
129;110654;4124;40;11;False;False;False;False;False;False;0
130;142165;4124;19;12;False;False;False;False;False;False;0
131;108193;4124;4;13;False;False;False;False;False;False;0
132;142163;4124;32;14;False;False;False;False;False;False;0
133;120427;4124;3;15;False;False;False;False;False;False;0
134;40740;4124;14;16;False;False;False;False;False;False;0
135;142098;4124;10;17;False;False;False;False;False;False;0
136;111059;4124;30;18;False;False;False;False;False;False;0
137;106787;4124;20;19;False;False;False;False;False;False;0
138;119463;4124;16;20;False;False;False;False;False;False;0
139;114085;4124;24;21;False;False;False;False;False;False;0
140;142172;4124;21;22;False;False;False;False;False;False;0
141;146763;4124;25;23;False;False;False;False;False;False;0
142;142162;4124;39;24;False;False;False;False;False;False;0
143;124973;4124;26;25;False;False;False;False;False;False;0
144;54352;4124;42;26;False;False;False;False;False;False;0
145;130017;4124;5;27;False;False;False;False;False;False;0
146;116282;4124;17;28;False;False;False;False;False;False;0
147;54823;226;49;27;False;False;False;False;False;False;0
148;54431;226;45;28;False;False;False;False;False;False;0
149;36627;225;1;0;True;False;False;False;False;False;0
150;102896;225;5;1;False;False;False;False;False;False;0
151;109126;225;30;2;False;False;False;False;False;False;0
152;142714;225;29;3;False;False;False;False;False;False;0
153;108692;225;25;4;False;False;False;False;False;False;0
154;113296;225;8;5;False;False;False;False;False;False;0
155;128338;225;17;6;False;False;False;False;False;False;0
156;60007;225;6;7;False;False;False;False;False;False;0
157;110827;225;23;8;False;True;True;True;True;False;0
158;45405;225;14;9;False;False;False;False;False;True;0
159;108069;225;10;10;False;False;False;False;False;False;0
160;108998;225;21;11;False;False;False;False;False;False;0
161;115659;225;3;12;False;False;False;False;False;False;0
162;106805;225;24;13;False;False;False;False;False;False;0
163;116356;225;18;14;False;False;False;False;False;False;0
164;142178;225;20;15;False;False;False;False;False;False;0
165;147031;225;22;16;False;False;False;False;False;False;0
166;142112;225;27;17;False;False;False;False;False;False;0
167;108999;225;13;18;False;False;False;False;False;False;0
168;54702;225;34;19;False;False;False;False;False;False;0
169;127316;225;19;20;False;False;False;False;False;False;0
170;106801;225;7;21;False;False;False;False;False;False;0
171;148162;225;38;22;False;False;False;False;False;False;0
172;142108;225;41;23;False;False;False;False;False;False;0
173;112450;225;4;24;False;False;False;False;False;False;0
174;137007;225;11;27;False;False;False;False;False;False;0
175;130019;225;26;28;False;False;False;False;False;False;0
176;130016;225;32;25;False;False;False;False;False;False;0
177;53781;225;35;26;False;False;False;False;False;False;0
178;142147;4126;1;0;True;False;False;False;False;False;0
179;142154;4126;22;1;False;False;False;False;False;False;0
180;124270;4126;5;2;False;False;False;False;False;False;0
181;119852;4126;34;3;False;False;False;False;False;False;0
182;42446;4126;3;4;False;False;False;False;False;False;0
183;107906;4126;11;5;False;True;True;True;True;False;0
184;142156;4126;8;6;False;False;False;False;False;False;0
185;142241;4126;6;7;False;False;False;False;False;False;0
186;142155;4126;14;8;False;False;False;False;False;False;0
187;104749;4126;27;9;False;False;False;False;False;True;0
188;126822;4126;33;10;False;False;False;False;False;False;0
189;142149;4126;37;11;False;False;False;False;False;False;0
190;142150;4126;25;12;False;False;False;False;False;False;0
191;132754;4126;26;13;False;False;False;False;False;False;0
192;105083;4126;16;14;False;False;False;False;False;False;0
193;132524;4126;13;15;False;False;False;False;False;False;0
194;53794;4126;20;16;False;False;False;False;False;False;0
195;54411;4126;39;17;False;False;False;False;False;False;0
196;53796;4126;35;18;False;False;False;False;False;False;0
197;120514;4126;29;19;False;False;False;False;False;False;0
198;113297;4126;7;20;False;False;False;False;False;False;0
199;102109;4126;10;21;False;False;False;False;False;False;0
200;54715;4126;44;22;False;False;False;False;False;False;0
201;142148;4126;12;23;False;False;False;False;False;False;0
202;145691;4126;36;24;False;False;False;False;False;False;0
